"","AccuracyValidtrials","dprime_ValidTrials","AccuracyNeutraltrials","dprime_NeutralTrials","AccuracyInVtrials","dprime_InVtrials","OverallCueEffect","OverallCueEff_dp","cueEff_V_InV","cueEff","overall_cueCost","cueEff_V_InV_dp","overall_cueCost_dp","AccuracyValidTrial_50","dprime_ValidTrial_50","AccuracyNeuTrial_50","dprime_NeutralTrial_50","AccuracyInValTrial_50","dprime_InValTrial_50","Acc_pos1_Valid","dprime_1_Valid","Acc_pos1_Neutral","dprime_1_Neutral","Acc_pos1_InVal","dprime_1_InVal","Acc_pos2_Valid","dprime_2_Valid","Acc_pos2_Neutral","dprime_2_Neutral","Acc_pos2_InVal","dprime_2_InVal","Acc_pos3_Valid","dprime_3_Valid","Acc_pos3_Neutral","dprime_3_Neutral","Acc_pos3_InVal","dprime_3_InVal","Acc_pos4_Valid","dprime_4_Valid","Acc_pos4_Neutral","dprime_4_Neutral","Acc_pos4_InVal","dprime_4_InVal","Acc_pos5_Valid","dprime_5_Valid","Acc_pos5_Neutral","dprime_5_Neutral","Acc_pos5_InVal","dprime_5_InVal","Acc_pos6_Valid","dprime_6_Valid","Acc_pos6_Neutral","dprime_6_Neutral","Acc_pos6_InVal","dprime_6_InVal","acc1_Val_50","dp1_Val_50","acc1_Neu_50","dp1_Neu_50","acc1_InV_50","dp1_InV_50","acc2_Val_50","dp2_Val_50","acc2_Neu_50","dp2_Neu_50","acc2_InV_50","dp2_InV_50","acc3_Val_50","dp3_Val_50","acc3_Neu_50","dp3_Neu_50","acc3_InV_50","dp3_InV_50","acc4_Val_50","dp4_Val_50","acc4_Neu_50","dp4_Neu_50","acc4_InV_50","dp4_InV_50","acc5_Val_50","dp5_Val_50","acc5_Neu_50","dp5_Neu_50","acc5_InV_50","dp5_InV_50","acc6_Val_50","dp6_Val_50","acc6_Neu_50","dp6_Neu_50","acc6_InV_50","dp6_InV_50","cueEff_dp_50","CueEff_V2I_50","CueEffect_50","cueEff_V2I_dp_50","cueCost_50","cueCost_dp_50","AccuracyValidTrial_100","dprime_ValidTrial_100","AccuracyNeuTrial_100","dprime_NeutralTrial_100","AccuracyInValTrial_100","dprime_InValTrial_100","acc1_Val_100","dp1_Val_100","acc1_Neu_100","dp1_Neu_100","acc1_InV_100","dp1_InV_100","acc2_Val_100","dp2_Val_100","acc2_Neu_100","dp2_Neu_100","acc2_InV_100","dp2_InV_100","acc3_Val_100","dp3_Val_100","acc3_Neu_100","dp3_Neu_100","acc3_InV_100","dp3_InV_100","acc4_Val_100","dp4_Val_100","acc4_Neu_100","dp4_Neu_100","acc4_InV_100","dp4_InV_100","acc5_Val_100","dp5_Val_100","acc5_Neu_100","dp5_Neu_100","acc5_InV_100","dp5_InV_100","acc6_Val_100","dp6_Val_100","acc6_Neu_100","dp6_Neu_100","acc6_InV_100","dp6_InV_100","CueEffect_100","cueEff_dp_100","CueEff_V2I_100","cueEff_V2I_dp_100","cueCost_100","cueCost_dp_100","Include","subID","dashboard_id","Record.ID","Event.Name","Dashboard.Username","visit_age","wj_lwid_raw","wj_lwid_ss","wj_wa_raw","wj_wa_ss","wj_brs","twre_swe_raw","twre_swe_ss","twre_pde_raw","twre_pde_ss","twre_index","wasi_vocab_raw","wasi_vocab_ts","wasi_mr_raw","wasi_mr_ts","wasi_fs2","origin","MonthsSinceTesting","agenow","DysDiag"
"30",33.3333333333333,1.08202667236328,38.3333333333333,1.2354606628418,30,0.974946594238281,-5.00000000000001,-0.153433990478516,3.33333333333333,-5.00000000000001,8.33333333333334,0.107080078125,0.260514068603516,26.6666666666667,0.862482452392578,46.6666666666667,1.48014602661133,30,0.974946594238281,90,3.0708854675293,90,3.0708854675293,50,1.57643890380859,20,0.613416290283203,10,0.114620971679687,20,0.613416290283203,10,0.114620971679687,20,0.613416290283203,20,0.613416290283203,10,0.114620971679687,30,0.974946594238281,10,0.114620971679687,20,0.613416290283203,20,0.613416290283203,10,0.114620971679687,50,1.57643890380859,60,1.86892471313477,70,2.18335266113281,80,2.55346069335938,90,3.0708854675293,60,1.86892471313477,20,0.613416290283203,20,0.613416290283203,20,0.613416290283203,0.1,-1.91062850952149,40,1.28521728515625,0.1,-1.91062850952149,0.1,-1.91062850952149,40,1.28521728515625,20,0.613416290283203,20,0.613416290283203,20,0.613416290283203,20,0.613416290283203,40,1.28521728515625,60,1.86892471313477,60,1.86892471313477,-0.617663574218751,-3.33333333333333,-20,-0.112464141845703,16.6666666666667,0.505199432373048,40,1.28521728515625,30,0.974946594238281,30,0.974946594238281,90,3.0708854675293,80,2.55346069335938,40,1.28521728515625,20,0.613416290283203,0.1,-1.91062850952149,20,0.613416290283203,20,0.613416290283203,0.1,-1.91062850952149,40,1.28521728515625,20,0.613416290283203,20,0.613416290283203,0.1,-1.91062850952149,20,0.613416290283203,20,0.613416290283203,0.1,-1.91062850952149,60,1.86892471313477,60,1.86892471313477,80,2.55346069335938,10,0.310270690917969,10,0.310270690917969,0,0,1,1379,"rc-1519",1379,"Subject Intake","bravery",8.874697404236,56,107,21,104,106,51,89,26,94,91,21,46,15,50,96,1,11.8785806624972,20.7532780667332,0
"31",43.3333333333333,1.38330917358398,40,1.28521728515625,23.3333333333333,0.742818450927734,3.33333333333334,0.0980918884277346,20,3.33333333333334,16.6666666666667,0.640490722656251,0.542398834228516,46.6666666666667,1.48014602661133,46.6666666666667,1.48014602661133,23.3333333333333,0.742818450927734,70,2.18335266113281,50,1.57643890380859,90,3.0708854675293,20,0.613416290283203,0.05,-2.13285369873047,10,0.114620971679687,20,0.613416290283203,40,1.28521728515625,0.05,-2.13285369873047,50,1.57643890380859,40,1.28521728515625,0.05,-2.13285369873047,30,0.974946594238281,30,0.974946594238281,0.05,-2.13285369873047,70,2.18335266113281,80,2.55346069335938,40,1.28521728515625,90,3.0708854675293,80,2.55346069335938,80,2.55346069335938,0.1,-1.91062850952149,0.1,-1.91062850952149,20,0.613416290283203,20,0.613416290283203,40,1.28521728515625,0.1,-1.91062850952149,60,1.86892471313477,60,1.86892471313477,0.1,-1.91062850952149,20,0.613416290283203,40,1.28521728515625,0.1,-1.91062850952149,80,2.55346069335938,60,1.86892471313477,40,1.28521728515625,0,23.3333333333333,0,0.737327575683595,23.3333333333333,0.737327575683595,40,1.28521728515625,33.3333333333333,1.08202667236328,23.3333333333333,0.742818450927734,40,1.28521728515625,20,0.613416290283203,90,3.0708854675293,40,1.28521728515625,0.1,-1.91062850952149,0.1,-1.91062850952149,20,0.613416290283203,40,1.28521728515625,0.1,-1.91062850952149,40,1.28521728515625,20,0.613416290283203,0.1,-1.91062850952149,40,1.28521728515625,20,0.613416290283203,0.1,-1.91062850952149,60,1.86892471313477,90,3.0708854675293,40,1.28521728515625,6.66666666666667,0.203190612792969,16.6666666666667,0.542398834228516,10,0.339208221435547,1,1034,"rc-1527",1034,"Subject Intake","whisper",11.4651567109523,60,98,29,121,108,86,118,49,111,115,32,54,15,44,98,1,11.6094025803054,23.0745592912577,0
"32",15,0.392183685302734,21.6666666666667,0.679533386230468,13.3333333333333,0.307913970947265,-6.66666666666667,-0.287349700927735,1.66666666666667,-6.66666666666667,8.33333333333333,0.0842697143554688,0.371619415283203,16.6666666666667,0.470488739013671,23.3333333333333,0.742818450927734,13.3333333333333,0.307913970947265,70,2.18335266113281,60,1.86892471313477,30,0.974946594238281,10,0.114620971679687,10,0.114620971679687,10,0.114620971679687,0.05,-2.13285369873047,0.05,-2.13285369873047,10,0.114620971679687,0.05,-2.13285369873047,20,0.613416290283203,0.05,-2.13285369873047,10,0.114620971679687,40,1.28521728515625,20,0.613416290283203,0.05,-2.13285369873047,0.05,-2.13285369873047,10,0.114620971679687,80,2.55346069335938,40,1.28521728515625,20,0.613416290283203,20,0.613416290283203,20,0.613416290283203,0.1,-1.91062850952149,0.1,-1.91062850952149,0.1,-1.91062850952149,20,0.613416290283203,0.1,-1.91062850952149,20,0.613416290283203,0.1,-1.91062850952149,0.1,-1.91062850952149,60,1.86892471313477,20,0.613416290283203,0.1,-1.91062850952149,0.1,-1.91062850952149,20,0.613416290283203,-0.272329711914063,3.33333333333333,-6.66666666666667,0.162574768066406,10,0.434904479980469,13.3333333333333,0.307913970947265,20,0.613416290283203,13.3333333333333,0.307913970947265,60,1.86892471313477,80,2.55346069335938,40,1.28521728515625,0.1,-1.91062850952149,0.1,-1.91062850952149,20,0.613416290283203,0.1,-1.91062850952149,0.1,-1.91062850952149,0.1,-1.91062850952149,0.1,-1.91062850952149,20,0.613416290283203,0.1,-1.91062850952149,20,0.613416290283203,20,0.613416290283203,20,0.613416290283203,0.1,-1.91062850952149,0.1,-1.91062850952149,0.1,-1.91062850952149,-6.66666666666667,-0.305502319335938,0,0,6.66666666666667,0.305502319335938,1,939,"rc-1529",939,"Subject Intake","diamond",11.4153039875334,60,98,23,98,98,83,113,34,92,103,33,56,19,53,108,1,11.3532381967412,22.7685421842746,0
"33",36.6666666666667,1.18508911132812,31.6666666666667,1.0290657043457,26.6666666666667,0.862482452392578,5,0.156023406982422,10,5,5,0.322606658935547,0.166583251953125,40,1.28521728515625,36.6666666666667,1.18508911132812,23.3333333333333,0.742818450927734,50,1.57643890380859,70,2.18335266113281,40,1.28521728515625,30,0.974946594238281,10,0.114620971679687,10,0.114620971679687,30,0.974946594238281,10,0.114620971679687,10,0.114620971679687,40,1.28521728515625,30,0.974946594238281,50,1.57643890380859,40,1.28521728515625,20,0.613416290283203,10,0.114620971679687,30,0.974946594238281,50,1.57643890380859,40,1.28521728515625,40,1.28521728515625,60,1.86892471313477,20,0.613416290283203,60,1.86892471313477,0.1,-1.91062850952149,0.1,-1.91062850952149,40,1.28521728515625,20,0.613416290283203,20,0.613416290283203,20,0.613416290283203,40,1.28521728515625,40,1.28521728515625,40,1.28521728515625,40,1.28521728515625,20,0.613416290283203,40,1.28521728515625,60,1.86892471313477,40,1.28521728515625,0.100128173828125,16.6666666666667,3.33333333333334,0.542398834228516,13.3333333333333,0.442270660400391,33.3333333333333,1.08202667236328,26.6666666666667,0.862482452392578,30,0.974946594238281,60,1.86892471313477,80,2.55346069335938,60,1.86892471313477,0.1,-1.91062850952149,20,0.613416290283203,20,0.613416290283203,20,0.613416290283203,0.1,-1.91062850952149,0.1,-1.91062850952149,60,1.86892471313477,20,0.613416290283203,60,1.86892471313477,40,1.28521728515625,0.1,-1.91062850952149,0.1,-1.91062850952149,20,0.613416290283203,40,1.28521728515625,40,1.28521728515625,6.66666666666666,0.219544219970703,3.33333333333333,0.107080078125,-3.33333333333333,-0.112464141845703,1,1160,"rc-1534",1160,"Subject Intake","bashful",9.70707817408982,71,132,25,112,126,71,103,34,100,102,33,62,17,51,111,1,11.4162518953739,21.1233300694637,0
"34",51.6666666666667,1.62459487915039,43.3333333333333,1.38330917358398,26.6666666666667,0.862482452392578,8.33333333333334,0.241285705566406,25,8.33333333333334,16.6666666666667,0.762112426757813,0.520826721191407,46.6666666666667,1.48014602661133,50,1.57643890380859,26.6666666666667,0.862482452392578,60,1.86892471313477,60,1.86892471313477,50,1.57643890380859,50,1.57643890380859,30,0.974946594238281,0.05,-2.13285369873047,40,1.28521728515625,40,1.28521728515625,0.05,-2.13285369873047,70,2.18335266113281,50,1.57643890380859,60,1.86892471313477,50,1.57643890380859,30,0.974946594238281,20,0.613416290283203,40,1.28521728515625,50,1.57643890380859,30,0.974946594238281,60,1.86892471313477,60,1.86892471313477,60,1.86892471313477,40,1.28521728515625,20,0.613416290283203,0.1,-1.91062850952149,20,0.613416290283203,60,1.86892471313477,0.1,-1.91062850952149,80,2.55346069335938,60,1.86892471313477,60,1.86892471313477,20,0.613416290283203,40,1.28521728515625,20,0.613416290283203,60,1.86892471313477,60,1.86892471313477,20,0.613416290283203,-0.0962928771972653,20,-3.33333333333334,0.617663574218751,23.3333333333333,0.713956451416016,56.6666666666667,1.77012329101563,36.6666666666667,1.18508911132812,26.6666666666667,0.862482452392578,60,1.86892471313477,60,1.86892471313477,40,1.28521728515625,60,1.86892471313477,40,1.28521728515625,0.1,-1.91062850952149,60,1.86892471313477,20,0.613416290283203,0.1,-1.91062850952149,60,1.86892471313477,40,1.28521728515625,60,1.86892471313477,80,2.55346069335938,20,0.613416290283203,20,0.613416290283203,20,0.613416290283203,40,1.28521728515625,40,1.28521728515625,20,0.585034179687501,30,0.907640838623048,10,0.322606658935547,1,1161,"rc-1535",1161,"Subject Intake","improve",8.62286699932237,63,123,27,125,125,68,108,25,93,101,28,62,22,70,128,1,11.3833751830451,20.0062421823675,0
"35",68.3333333333333,2.12829742431641,73.3333333333333,2.29805068969727,66.6666666666667,2.07450714111328,-5,-0.16975326538086,1.66666666666667,-5,6.66666666666667,0.0537902832031252,0.223543548583985,66.6666666666667,2.07450714111328,80,2.55346069335938,66.6666666666667,2.07450714111328,90,3.0708854675293,95,3.50217361450196,80,2.55346069335938,50,1.57643890380859,50,1.57643890380859,20,0.613416290283203,70,2.18335266113281,60,1.86892471313477,70,2.18335266113281,60,1.86892471313477,80,2.55346069335938,60,1.86892471313477,60,1.86892471313477,60,1.86892471313477,70,2.18335266113281,80,2.55346069335938,90,3.0708854675293,95,3.50217361450196,80,2.55346069335938,90,3.0708854675293,90,3.0708854675293,60,1.86892471313477,60,1.86892471313477,20,0.613416290283203,90,3.0708854675293,60,1.86892471313477,60,1.86892471313477,40,1.28521728515625,90,3.0708854675293,60,1.86892471313477,40,1.28521728515625,60,1.86892471313477,60,1.86892471313477,80,2.55346069335938,90,3.0708854675293,90,3.0708854675293,-0.478953552246094,0,-13.3333333333333,0,13.3333333333333,0.478953552246094,70,2.18335266113281,66.6666666666667,2.07450714111328,66.6666666666667,2.07450714111328,90,3.0708854675293,90,3.0708854675293,60,1.86892471313477,40,1.28521728515625,40,1.28521728515625,20,0.613416290283203,40,1.28521728515625,60,1.86892471313477,80,2.55346069335938,80,2.55346069335938,60,1.86892471313477,60,1.86892471313477,80,2.55346069335938,60,1.86892471313477,80,2.55346069335938,80,2.55346069335938,80,2.55346069335938,90,3.0708854675293,3.33333333333334,0.108845520019531,3.33333333333334,0.108845520019531,0,0,1,1121,"rc-1539",1121,"Subject Intake","hammock",9.87118147532119,65,118,26,115,118,67,98,43,111,105,22,44,20,57,101,1,11.1895395666055,21.0607210419267,0
"36",28.3333333333333,0.919487762451172,26.6666666666667,0.862482452392578,18.3333333333333,0.543952178955078,1.66666666666666,0.0570053100585939,10,1.66666666666666,8.33333333333334,0.375535583496094,0.3185302734375,26.6666666666667,0.862482452392578,23.3333333333333,0.742818450927734,23.3333333333333,0.742818450927734,60,1.86892471313477,50,1.57643890380859,0.05,-2.13285369873047,20,0.613416290283203,10,0.114620971679687,10,0.114620971679687,20,0.613416290283203,10,0.114620971679687,10,0.114620971679687,20,0.613416290283203,30,0.974946594238281,30,0.974946594238281,0.05,-2.13285369873047,0.05,-2.13285369873047,30,0.974946594238281,50,1.57643890380859,60,1.86892471313477,30,0.974946594238281,60,1.86892471313477,40,1.28521728515625,0.1,-1.91062850952149,0.1,-1.91062850952149,20,0.613416290283203,20,0.613416290283203,20,0.613416290283203,0.1,-1.91062850952149,0.1,-1.91062850952149,40,1.28521728515625,40,1.28521728515625,20,0.613416290283203,0.1,-1.91062850952149,0.1,-1.91062850952149,60,1.86892471313477,40,1.28521728515625,40,1.28521728515625,40,1.28521728515625,0.119664001464844,3.33333333333334,3.33333333333334,0.119664001464844,0,0,30,0.974946594238281,30,0.974946594238281,13.3333333333333,0.307913970947265,60,1.86892471313477,60,1.86892471313477,0.1,-1.91062850952149,40,1.28521728515625,0.1,-1.91062850952149,0.1,-1.91062850952149,20,0.613416290283203,20,0.613416290283203,20,0.613416290283203,0.1,-1.91062850952149,20,0.613416290283203,40,1.28521728515625,0.1,-1.91062850952149,0.1,-1.91062850952149,0.1,-1.91062850952149,60,1.86892471313477,80,2.55346069335938,20,0.613416290283203,0,0,16.6666666666667,0.667032623291016,16.6666666666667,0.667032623291016,1,711,"rc-153",711,"Subject Intake","station",7.70612446981572,52,112,21,114,113,65,122,33,114,119,32,75,19,64,134,1,17.8573477857835,25.5634722555993,0
"37",38.3333333333333,1.2354606628418,35,1.13398666381836,25,0.803687286376953,3.33333333333334,0.101473999023438,13.3333333333333,3.33333333333334,10,0.431773376464844,0.330299377441407,43.3333333333333,1.38330917358398,33.3333333333333,1.08202667236328,23.3333333333333,0.742818450927734,80,2.55346069335938,60,1.86892471313477,50,1.57643890380859,10,0.114620971679687,10,0.114620971679687,10,0.114620971679687,10,0.114620971679687,10,0.114620971679687,0.05,-2.13285369873047,60,1.86892471313477,80,2.55346069335938,40,1.28521728515625,50,1.57643890380859,0.05,-2.13285369873047,20,0.613416290283203,20,0.613416290283203,50,1.57643890380859,30,0.974946594238281,80,2.55346069335938,80,2.55346069335938,60,1.86892471313477,0.1,-1.91062850952149,0.1,-1.91062850952149,20,0.613416290283203,20,0.613416290283203,20,0.613416290283203,0.1,-1.91062850952149,60,1.86892471313477,60,1.86892471313477,40,1.28521728515625,80,2.55346069335938,0.1,-1.91062850952149,0.1,-1.91062850952149,20,0.613416290283203,40,1.28521728515625,20,0.613416290283203,0.301282501220703,20,10,0.640490722656251,10,0.339208221435547,33.3333333333333,1.08202667236328,36.6666666666667,1.18508911132812,26.6666666666667,0.862482452392578,80,2.55346069335938,40,1.28521728515625,40,1.28521728515625,20,0.613416290283203,20,0.613416290283203,0.1,-1.91062850952149,0.1,-1.91062850952149,0.1,-1.91062850952149,0.1,-1.91062850952149,60,1.86892471313477,90,3.0708854675293,40,1.28521728515625,20,0.613416290283203,0.1,-1.91062850952149,40,1.28521728515625,20,0.613416290283203,60,1.86892471313477,40,1.28521728515625,-3.33333333333334,-0.103062438964844,6.66666666666666,0.219544219970703,10,0.322606658935547,1,1252,"rc-1546",1252,"Subject Intake","calcium",7.0240433866997,50,118,18,113,116,61,120,22,106,114,29,73,20,70,137,1,11.1861149090725,18.2101582957722,0
"38",55,1.7213493347168,60,1.86892471313477,51.6666666666667,1.62459487915039,-4.99999999999999,-0.147575378417969,3.33333333333334,-4.99999999999999,8.33333333333333,0.0967544555664064,0.244329833984376,50,1.57643890380859,66.6666666666667,2.07450714111328,53.3333333333333,1.67286987304688,99.05,4.3453857421875,90,3.0708854675293,60,1.86892471313477,40,1.28521728515625,0.05,-2.13285369873047,10,0.114620971679687,30,0.974946594238281,80,2.55346069335938,30,0.974946594238281,80,2.55346069335938,95,3.50217361450196,70,2.18335266113281,40,1.28521728515625,50,1.57643890380859,80,2.55346069335938,40,1.28521728515625,40,1.28521728515625,60,1.86892471313477,90,3.0708854675293,90,3.0708854675293,60,1.86892471313477,60,1.86892471313477,0.1,-1.91062850952149,0.1,-1.91062850952149,40,1.28521728515625,80,2.55346069335938,40,1.28521728515625,60,1.86892471313477,90,3.0708854675293,80,2.55346069335938,20,0.613416290283203,60,1.86892471313477,80,2.55346069335938,20,0.613416290283203,60,1.86892471313477,60,1.86892471313477,-0.498068237304688,-3.33333333333334,-16.6666666666667,-0.0964309692382814,13.3333333333333,0.401637268066407,60,1.86892471313477,53.3333333333333,1.67286987304688,50,1.57643890380859,90,3.0708854675293,80,2.55346069335938,60,1.86892471313477,20,0.613416290283203,0.1,-1.91062850952149,20,0.613416290283203,20,0.613416290283203,80,2.55346069335938,20,0.613416290283203,90,3.0708854675293,90,3.0708854675293,60,1.86892471313477,60,1.86892471313477,40,1.28521728515625,80,2.55346069335938,60,1.86892471313477,20,0.613416290283203,60,1.86892471313477,6.66666666666666,0.196054840087891,10,0.292485809326172,3.33333333333334,0.0964309692382814,1,1350,"rc-1547",1350,"Subject Intake","justice",11.2844548484911,69,119,30,128,125,71,95,48,110,103,38,66,14,43,108,1,11.3148820323589,22.59933688085,0
"39",40,1.28521728515625,35,1.13398666381836,40,1.28521728515625,5,0.151230621337891,0,5,-5,0,-0.151230621337891,36.6666666666667,1.18508911132812,33.3333333333333,1.08202667236328,43.3333333333333,1.38330917358398,60,1.86892471313477,60,1.86892471313477,60,1.86892471313477,10,0.114620971679687,20,0.613416290283203,20,0.613416290283203,30,0.974946594238281,40,1.28521728515625,30,0.974946594238281,70,2.18335266113281,30,0.974946594238281,30,0.974946594238281,20,0.613416290283203,10,0.114620971679687,50,1.57643890380859,50,1.57643890380859,50,1.57643890380859,50,1.57643890380859,60,1.86892471313477,60,1.86892471313477,80,2.55346069335938,0.1,-1.91062850952149,20,0.613416290283203,20,0.613416290283203,20,0.613416290283203,40,1.28521728515625,40,1.28521728515625,60,1.86892471313477,20,0.613416290283203,40,1.28521728515625,20,0.613416290283203,20,0.613416290283203,40,1.28521728515625,60,1.86892471313477,40,1.28521728515625,40,1.28521728515625,0.103062438964844,-6.66666666666667,3.33333333333334,-0.19822006225586,-10,-0.301282501220703,43.3333333333333,1.38330917358398,36.6666666666667,1.18508911132812,36.6666666666667,1.18508911132812,60,1.86892471313477,60,1.86892471313477,40,1.28521728515625,20,0.613416290283203,20,0.613416290283203,20,0.613416290283203,40,1.28521728515625,40,1.28521728515625,20,0.613416290283203,80,2.55346069335938,40,1.28521728515625,20,0.613416290283203,20,0.613416290283203,0.1,-1.91062850952149,60,1.86892471313477,40,1.28521728515625,60,1.86892471313477,60,1.86892471313477,6.66666666666667,0.19822006225586,6.66666666666667,0.19822006225586,0,0,1,1122,"rc-1548",1122,"Subject Intake","angelic",8.17915494500229,52,106,27,128,115,73,121,44,119,121,24,56,17,58,112,1,11.1566628542767,19.335817799279,0
